term,pos,comment,is_case_sensitive,en,comment_en
ཀ་ ད་ རཾ་ ཙ,,place-Karmaraṅga,yes,Karmaraṅga,"\nThis seems to be the ancient name of Arakan, or what is now the Rakhine State in Myanmar.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀ་ དམྦ་ འཁོད་པ,,place-—,yes,Studded with Kadambas,"\nA river on Saṅkāśa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཱ་ དམྦའི་ ཆུ,,place-—,yes,Duck Lake,"\nA pond on Equal Peaks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀ་ དམྦའི་ བྱ་ རྣམས་ ཀྱིས་ བཅོམ་པ,,place-—,yes,Conquered by Kadambas,"\nA lake on Equal Peaks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀ་ ནིས་ ཀ,,person-Kaniṣka,yes,Kaniṣka,"\nA king of the Kushan empire in the second century ce.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
ཀ་ ནྱ་ ཀུབ་ ཛ,,place-Kanyakubja,yes,Kanyakubja,"\nA city in India (modern Kanauj).\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀ་པ་ ཆེན་པོ,,term-mahākapala,yes,Human skull,"\nNone\nToh 544, Dharmachakra Translation Committee,v 1.17.8"
ཀ་ པི་ ཏྠ,,term-kapittha,yes,Elephant wood-apple,"\nLimonia elephantianum (Correa), Feronia limonia (Linn).\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀ་ པི་ ན་ ཆེན་པོ,,person-Mahākapphiṇa,yes,Mahākapphiṇa,"\nŚrāvaka arhat.\nToh 115, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.8\nA monk (bhikṣu) and disciple of the Buddha.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8"
ཀ་ པི་ ན,,person-Kapphiṇa,yes,Kapphiṇa,"\nA principal teacher of the monastic saṅgha during the Buddha’s lifetime.\nToh 113, Peter Alan Roberts,v 1.2.1\nOne of the disciples of the Buddha.\nToh 182, Dharmachakra Translation Committee,v 1.18.16"
ཀ་ པི་ ལ་ ན་ ཆེན་པོ,,person-Mahākapphiṇa,yes,Mahākapphiṇa,"\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཀ་ ཕི་ ན,,person-Kapphiṇa,yes,Kapphiṇa,"\nA monk disciple of the Buddha Śākyamuni.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nA principal teacher of the monastic saṅgha during the Buddha’s lifetime. Described as pale skinned and with a prominent nose.\nToh 127, Peter Alan Roberts,v 1.45.16"
ཀ་བ་ དཔལ་ བརྩེགས,,person-None,yes,Kawa Paltsek,"\nTibetan translator (fl. late eighth–early ninth centuries).\nToh 11, Padmakara Translation Group,v 1.39.3"
ཀཱ་བ,,place-Kāverī,yes,Kāverī,"\nA river in the Deccan.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀཱ་ བཱི་ ར,,place-Kābīra,yes,Kābīra,"\nA forest in Promotion.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཱ་ བེ་ རི,,place-Kāberi,yes,Kāberi,"\nA river in the south of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཱ་ བེ་ རཱི,,place-Kāverī,yes,Kāverī,"\nA river in Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཱ་ མ་ རཱུ་པ,,place-Kāmarūpa,yes,Kāmarūpa,"\nOne of the two kṣetras.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
ཀ་མ་རུ,,place-Kāmarūpa,yes,Kāmarūpa,"\nWestern Assam.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀ་མ་ལ་ གུབ་ ཏ,,person-Kamalagupta,yes,Kamalagupta,"\nAn Indian scholar who was involved in a number of translations during the eleventh century in Tibet.\nToh 173, Dharmasāgara Translation Group,v 0.0.11"
ཀ་མ་ལ་ ཤཱི་ ལ,,person-Kamalaśīla,yes,Kamalaśīla,"\nNone\nToh 113, Peter Alan Roberts,v 1.2.1\nIndian Buddhist master (713–763) who came to Tibet in the late 8th century. Said to have been assassinated after a debate with the representatives of Chinese Buddhism. A later legend has him return to India and come back in another body in the eleventh century as the master Padampa Sangye.\nToh 127, Peter Alan Roberts,v 1.45.16"
ཀ་ ཙང་ ཀ་ལ,,person-Kacaṅkalā,yes,Kacaṅkalā,"\nA woman who, because she had previously been the Buddha’s mother for five hundred lifetimes, saw him as her son and ran to embrace him. Then, hearing the Dharma from him, she became ordained and manifested arhatship, and the Buddha declared her foremost among nuns who interpret the sūtras.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀ་ ཙང་ ག་ལ,,person-Kacaṅgalā,yes,Kacaṅgalā,"\nA woman who was the Buddha’s mother in a former life.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
ཀ་ ཡ,,person-Kaya,yes,Kaya,"\nA member of the Śākya clan.\nToh 308, Tom Tillemans.,v 1.22.10"
ཀ་ར་ ན་ -འི་ མཐའ་ ན་ གནས་པ,,place-—,yes,Situated by the End of Karaṇa,"\nAn area in Kuru.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀ་ར་ བཱི་ ར,,term-karavīra,yes,Indian oleander,"\nNerium indicum.\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀཱ་ རཎྜ་བ་ -འི་ ཀླུང,,place-—,yes,Duck Stream,"\nA lake on Equal Peaks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀ་ རྟི་ ཀ,,person-Kārttikeya,yes,Kārttikeya,"\nKārttikeya (alt. Skanda) is the son of Śiva and Pārvatī. Like Gaṇapati, Kārttikeya is said to lead the gaṇas in battle against demonic beings and is considered a god of war.\nToh 846, The Dharmachakra Translation Committee,v 1.1.14"
ཀཱ་ ལ་ ཀུ་ ཊ,,term-kālakūṭa,yes,Kālakūṭa,"\nA deadly poison that originated when the gods and asuras churned the oceans to create the nectar of immortality.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཱ་ ལ་ ཀོ,,place-Kālaka,yes,Kālaka,"\nAn island in the sea west of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཱ་ ལ་ རཱུ་པ,,person-Kālarūpa,yes,Kālarūpa,"\n“Black Form.” This seems to be an epithet of Mūrdhaṭaka, one of the wrathful emanations of Mañjuśrī.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀ་ ལཉྫི,,place-Kāliñjara,yes,Kāliñjara,"\nName of a country; inhabitant of this country.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
ཀ་ ལན་ ད་ ཀ,,place-Kalandaka,yes,Kalandaka Forest,"\nA grove or forest within the Veṇuvana near Rājagṛha, where Buddha Śākyamuni spent several monsoon retreats and delivered many Great Vehicle teachings. In other texts it is known as the Kalandakanivāsa or °nivāpa, the dwelling place or feeding ground of kalandaka—crows or other birds according to Tibetan renderings, but some Sanskrit and Pali sources suggest flying squirrels.\nToh 61, Dharmachakra Translation Committee.,v 1.2.16"
ཀ་ ལན་ ད་ ཀ་ -འི་ གནས,,place-Kalandakanivāpa,yes,Kalandakanivāpa,"\nA place where the Buddha often resided, within the Bamboo Park (Veṇuvana) outside Rajagṛha that had been donated to him. The name is said to have arisen when, one day, King Bimbisāra fell asleep after a romantic liaison in the Bamboo Park. While the king rested, his consort wandered off. A snake (the reincarnation of the park’s previous owner, who still resented the king’s acquisition of the park) approached with malign intentions. Through the king’s tremendous merit, a gathering of kalandaka—crows or other birds according to Tibetan renderings, but some Sanskrit and Pali sources suggest flying squirrels—miraculously appeared and began squawking. Their clamor alerted the king’s consort to the danger, who rushed back and hacked the snake to pieces, thereby saving the king’s life. King Bimbisāra then named the spot Kalandakanivāpa (“Kalandakas’ Feeding Ground”), sometimes (though not in the Vinayavastu) given as Kalandakanivāpa (“Kalandakas’ Abode”) in their honor. The story is told in the Saṅghabhedavastu (Toh 1, ch.17, Degé Kangyur vol.4, folio 77.b et seq.).\nToh 1-1, Robert Miller and team,v 1.35.7\nA place where the Buddha often resided, within the Bamboo Grove (Veṇuvana) outside Rājagṛha that had been donated to him by King Bimbisāra of Magadha.\nToh 160, Dharmachakra Translation Committee,v 1.1.6"
ཀ་ ལམ་ བི,,term-kalambī,yes,Water spinach,"\nConvolvulus repens, Ipomoea aquatica.\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀ་ ལིང་ ཀ,,place-Kaliṅga,yes,Kaliṅga,"\nA country.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nOne of the two chandohas.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14\nAn ancient country on the Coromandel Coast.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀ་ ལིང་ ག་ -འི་ ནགས་ཚལ,,place-Kaliṅgavana,yes,Kaliṅgavana,"\nA town in South India.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀ་ ལིང་ ག་ -འི་ རྒྱལ་པོ,,person-Kaliṅgarāja,yes,Kaliṅgarāja,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀ་ ཤི་ ཀ་ ནས་ བྱུང་བ་ -འི་ གོས,,term-kāśikavastra,yes,Kaśika cloth,"\nCotton from Vārāṇasī, the capital of the ancient kingdom of Kashi, renowned as the best.\nToh 116, Peter Alan Roberts with Tulku Yeshi,v 2.47.19"
ཀཱ་ ཤི་ མཛེས་ལྡན་ མ,,person-Kāśisundarī,yes,Kāśisundarī,"\n“Beauty of Kāśi.” Princess of Vārāṇasī, child of Brahmadatta (present), who was extraordinarily beautiful and desired by six royal suitors. When her father announced she would choose her own spouse, she “chose” the Buddha, went forth, and manifested arhatship.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀ་ ཤི,,place-Kāśi,yes,Kāśi,"\nAncient name for Vārāṇasī, the holy city on the banks of the Ganges in modern day Uttar Pradesh, India.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nA country or a city named the same.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nAnother name for Vārāṇasī.\nToh 231, Dharmachakra Translation Committee,v 1.30.12"
ཀཱ་ ཤི,,place-Kāśi,yes,Kāśi,"\nCountry whose capital was Vārāṇasī, in the Buddha’s time it had been absorbed into Kośala. Its monarch was Brahmadatta (past).\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀཀྐོ་ ཊ,,person-Karkoṭaka,yes,Karkoṭaka,"\nOne of the kings of the nāgas.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀཱཉྩི,,place-Kāñcī,yes,Kāñcī,"\nOne of the two auxiliary chandohas.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
ཀན་ ནྱ་ ཀུབ་ ཙ,,place-Kanyakubja; Kanyākubja,yes,Kanyakubja,"\nThe name of an important ancient Indian city identified as modern Kannauj in Uttar Pradesh, India.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀནྐི་ ཀི་ རཱ་ ཏཱ,,term-Kinkikirāta,yes,Kinkikirāta,"\nA barbaric people in Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཾ་ ཀ་ལ,,person-Vajrakaṃkāla,yes,Vajrakaṃkāla,"\nNone\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀམ་པོ་ ཛཱི,,place-Kamboja,yes,Kamboja,"\nA land to the north of Jambudvīpa, corresponding to the northern Afghanistan\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀམ་བ་ ལ,,person-kambala,yes,Kambala,"\nA nāga king.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཀམྤོ་ ཙེ,,term-kamboja,yes,Kamboja,"\nA class of malevolent spirits.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀར་ ཀ་ ཏེ,,person-Karkaṭī,yes,Karkaṭī,"\nNone\nToh 558, Dharmachakra Translation Committee,v 1.5.16"
ཀར་ ཎ,,place-Karnāṭa,yes,Karnāṭaka,"\nA country corresponding to modern Karnataka State in India.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀརྐོཏེ་ མུ་ ཁི,,person-Karkoṭakamukhī,yes,Karkoṭakamukhī,"\n“One with the Face of Karkoṭa.” One of the eight nāga queens.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀརྞྞི་ ཀ,,place-Karṇika,yes,Karṇika,"\nA land in the east of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀརྨ་པ,,person-—,yes,Karmapa,"\nSuccessive incarnations as the heads of the Karma Kagyu tradition, beginning with Dusum Khyenpa (dus gsum mkhyen pa, 1110–1193).\nToh 127, Peter Alan Roberts,v 1.45.16"
ཀཱརྵཱ་པ་ ཎ,,term-kārṣāpaṇa,yes,Gold coin,"\nLit. “weighing a karṣa,” a coin or weight of different values (Monier-Williams 276.3); a type of ancient Indian currency.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀིབ་པ་ ལ,,person-Kimphala,yes,Kimphala,"\nOne of the śrāvakas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀིམ་ པི་ ལ,,person-Kimpila,yes,Kimpila,"\nA disciple of the Buddha.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
ཀིའུ་ ལང,,person-—,yes,Kiulang,"\nAn image of the Buddha.\nToh 357, Dharmachakra Translation Committee,v 1.0.14"
ཀུ་ཀུ་རི་པ,,person-Kukkuripa,yes,Kukkuripa,"\nCounted among the most famous of the Indian Buddhist Mahāsiddhas and renowned for his association with packs of dogs (kukkura), he is a central figure in a number of tantric lineages, specifically of the Guhya­samāja Tantra and Mahā­māyā Tantra. He was active sometime between the 8th and 10th centuries.\nToh 425, Dharmachakra Translation Committee,v 2.16.6"
ཀུ་ ཊའི་ འབྲས་བུ་པ,,place-—,yes,Land of Kuṭa Fruits,"\nA land to the north of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུ་བ་ལ་ -འི་ ཚལ,,place-Kubala,yes,Kubala Grove,"\nA grove in Promotion\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུ་བེ་ར,,person-Kubera,yes,Kubera,"\nThe son of Vaiśravaṇa (one of the four great kings).\nToh 193, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.11\nAlso known as Vaiśravaṇa. One among the Four Great Kings, guardian of the north.\nToh 287, Dharmachakra Translation Committee,v 1.0.11\nA Hindu god of wealth, appearing in the Buddhist pantheon as Vaiśravaṇa.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22\nAn alternate name for the yakṣa Jambhala.\nToh 498, Dharmachakra Translation Group,v 3.29.4"
ཀུ་བེ་ར་ -འི་ ཚོགས་ ཀྱི་ ནགས,,place-—,yes,Forest of the Assembly of Kubera,"\nA forest in Supreme Strength.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུ་བེ་ར་ -འི་ སྙིང་ དུ་ སྡུག་ མ,,person-Kuberakāntā,yes,Kuberakāntā,"\nNone\nToh 193, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.11"
ཀུ་ མ་ དཱའི་ དུས་སྟོན་ སྣ་ཚོགས་ ཅན,,person-Kumuda­vicitramaha,yes,Kumuda­vicitramaha,"\nA certain bird that lived on Gandhamādana Mountain, who died with thoughts of joy toward the Buddha and therefore took rebirth as a god.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀུ་མཱ་ར་ ཀ་ལ་ ཤ,,person-Kumārakalaśa,yes,Kumārakalaśa,"\nThe name of an Indian preceptor and teacher who lived during the early Sarma (gsar ma) period (c. 11th century) and worked on the Tibetan translation of the Mañjuśrīmūlatantra.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུ་མཱ་ར་ རཀྵི་ ཏ,,person-Kumārarakṣita,yes,Kumārarakṣita,"\nNamed as one of the editor-translators of this sūtra.\nToh 160, Dharmachakra Translation Committee,v 1.1.6"
ཀུ་ མུ་ ཏ,,term-kumuda,yes,Night lotus,"\nNymphaea pubescens. This night-blossoming water lily, which can be red, pink, or white, is not actually a lotus. It does not have the lotus’s distinctive pericarp. Nevertheless, it is commonly called the “night lotus.” It is also known as “hairy water lily,” because of the hairs on the stem and the underside of the leaves.\nToh 113, Peter Alan Roberts,v 1.2.1\nNymphaea pubescens. This night-blossoming water lily, which can be red, pink, or white, is not actually a lotus. It does not have the lotus’s distinctive pericarp. Nevertheless, it is commonly called the “night lotus.” It is also known as “hairy water lily,” because of the hairs on the stem and the underside of the leaves.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུ་མུ་ད་ འབྱུང་བ,,person-—,yes,Source of Kumudas,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུ་མུ་ད་ ལྟར་ གས་པ,,place-kumuda,yes,Cracked Like Pink Lotus Flowers,"\nOne of the cold hells.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཀུ་མུ་ད,,place-Kumuda,yes,Kumuda,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15Night lotus\nThe water plant Nymphae esculenta.\nToh 11, Padmakara Translation Group,v 1.39.3Water lily\nThis water lily, Nymphaea pubescens, can be pink or white and is sometimes incorrectly called a lotus. It flowers at night, and therefore is also called “night lotus.”\nToh 116, Peter Alan Roberts with Tulku Yeshi,v 2.47.19Night lotus\nNymphaea pubescens. This night-blossoming water lily, which can be red, pink, or white, is not actually a lotus, since it does not have the lotus’s distinctive pericarp. Nevertheless it is commonly called the “night lotus.” It is also known as hairy water lily, because of the hairs on the stem and the underside of the leaves.\nToh 127, Peter Alan Roberts,v 1.45.16Water lily\nNone\nToh 130, Dharmachakra Translation Committee,v 1.26.7"
ཀུ་མུ་ད་ -ས་ རབ་ཏུ་ ཁེབས་པ,,place-—,yes,Studded with Kumudas,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུ་མུད་ ལ་ གནས་མ,,person-Kusumanilayā,yes,Kusumanilayā,"\nNone\nToh 193, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.11"
ཀུ་ ཙ,,person-Kutsa,yes,Kutsa,"\nNone\nToh 127, Peter Alan Roberts,v 1.45.16"
ཀུ་རུ་ ཀུ་ ལླཱ,,person-Kurukullā,yes,Kurukullā,"\nThe Buddhist goddess of enthrallment related to or emanating from Tārā.\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀུ་རུ་ ཀུལ་ ལེ,,person-Kurukullā,yes,Kurukullā,"\nNone\nToh 437, Dharmachakra Translation Committee,v 2.42.6"
ཀུ་རུ,,person-Kuru,yes,Kuru,"\nOne of the śrāvakas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུ་ ལ་ ཀཱ,,person-Kulakā,yes,Kulakā,"\nA rākṣasī living in Ramayo.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུ་ ལུ་ ཏཱ,,place-Kulatā,yes,Kulatā,"\nOne of the auxiliary charnel grounds.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
ཀུ་ཤ,,person-Kuśa,yes,Kuśa,"\nA prince who was the Buddha in a former life.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6Kuśa grass\nPoa cynosuroides, a species of grass commonly used in religious ceremonies.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུ་ཤ་ -འི་ གྲོང་ཁྱེར,,place-Kuśinagarī,yes,Kuśinagarī,"\nThe city where the Buddha entered parinirvāṇa.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nVillage in the country of Mallā where the Buddha passed into parinirvāṇa.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀུ་ཤ་ -འི་ མཆོག་ གི་ གྲོང,,place-Kuśāgrapuri,yes,Kuśāgrapura,"\nThe one-time capital of ancient Magadha.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
